time,FPS / Frame,Time: Chassis,Time: RobotPos,Time: Sweeper,Time: Telemetry,Time: Turret,X,Y,Yaw,setPower: Chassis,setPower: Shooter,setPower: Sweeper,setPower: Turret,useNoHeadMode,logs
22:27.8,19.6 / 51.0 ms,70 us,19650 us,3 us,14206 us,10109 us,-0.001601354,-0.003409475,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:27.9,21.2 / 47.2 ms,53 us,20797 us,2 us,48 us,9694 us,7.92E-04,-0.002164548,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:27.9,25.4 / 39.4 ms,54 us,22314 us,2 us,37 us,13400 us,6.87E-04,-0.002083718,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:27.9,22.3 / 44.8 ms,60 us,20655 us,3 us,43 us,11669 us,9.81E-04,-0.002311009,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.0,25.3 / 39.6 ms,65 us,21298 us,3 us,42 us,15140 us,9.89E-04,-0.002316914,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.4,21.8 / 45.9 ms,59 us,21225 us,3 us,39 us,10052 us,0.001393389,-0.003080272,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.8,19.4 / 51.6 ms,57 us,21683 us,3 us,13372 us,9922 us,6.85E-04,-0.002082956,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.1,24.1 / 41.6 ms,65 us,16501 us,4 us,50 us,10568 us,-0.003191079,-6.31E-04,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.2,28.0 / 35.7 ms,57 us,21133 us,3 us,38 us,9962 us,0.002227241,-0.001728333,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.2,25.4 / 39.4 ms,72 us,23318 us,4 us,43 us,10821 us,0.002573361,-0.001996304,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.2,23.3 / 42.9 ms,67 us,17370 us,3 us,53 us,10081 us,0.002605331,-0.002021061,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.3,29.1 / 34.4 ms,55 us,18753 us,3 us,45 us,10063 us,0.002192323,-0.001701325,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.3,27.8 / 36.0 ms,108 us,17900 us,4 us,42 us,10360 us,0.001517724,-0.001178954,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.4,17.0 / 58.8 ms,72 us,19097 us,4 us,21524 us,10363 us,0.00152359,-0.001183497,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.4,19.7 / 50.6 ms,242 us,18779 us,4 us,50 us,16824 us,0.00152359,-0.001183497,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.5,22.4 / 44.7 ms,71 us,17232 us,4 us,54 us,10413 us,0.00152535,-0.00118486,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.5,26.8 / 37.2 ms,67 us,21520 us,4 us,138 us,19069 us,0.001526817,-0.001185995,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.6,19.1 / 52.4 ms,69 us,23724 us,4 us,53 us,10310 us,0.00152623,-0.001185541,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.6,23.2 / 43.1 ms,123 us,23662 us,4 us,62 us,11908 us,0.001526524,-0.001185768,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.7,16.0 / 62.6 ms,84 us,18861 us,3 us,16555 us,9930 us,0.00152799,-0.001186904,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.7,27.5 / 36.3 ms,67 us,20995 us,4 us,46 us,10545 us,0.001526523,-0.001185768,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.7,24.8 / 40.4 ms,211 us,23261 us,5 us,56 us,11586 us,0.00152799,-0.001186904,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.8,20.4 / 49.0 ms,146 us,20239 us,6 us,66 us,11892 us,0.001527403,-0.00118645,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.8,23.3 / 42.9 ms,83 us,19990 us,5 us,65 us,14950 us,0.001527403,-0.00118645,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.9,21.9 / 45.7 ms,85 us,22621 us,4 us,65 us,10741 us,0.001529163,-0.001187812,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:28.9,13.3 / 75.2 ms,68 us,17498 us,4 us,17318 us,14397 us,0.001528576,-0.001187358,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.0,24.6 / 40.7 ms,64 us,19041 us,4 us,55 us,10720 us,0.001529456,-0.00118804,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.3,25.7 / 38.9 ms,68 us,20553 us,4 us,50 us,14882 us,0.001528283,-0.001187131,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.8,20.9 / 47.9 ms,68 us,21160 us,4 us,54 us,10761 us,0.001529749,-0.001188267,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.1,24.3 / 41.1 ms,96 us,21818 us,4 us,52 us,10393 us,0.001529456,-0.00118804,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.2,23.5 / 42.6 ms,165 us,18113 us,4 us,76 us,10326 us,0.001529749,-0.001188267,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.2,26.6 / 37.6 ms,65 us,20269 us,4 us,74 us,10161 us,0.001532096,-0.001190084,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.3,16.7 / 59.9 ms,69 us,20124 us,4 us,18418 us,11322 us,0.003475926,-0.001146553,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.3,24.9 / 40.2 ms,67 us,22326 us,3 us,51 us,10802 us,0.003476219,-0.00114678,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.3,23.8 / 42.0 ms,66 us,18390 us,4 us,53 us,10733 us,0.003475046,-0.001145872,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.4,26.0 / 38.5 ms,54 us,20205 us,3 us,60 us,13790 us,0.003472993,-0.001144282,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.4,20.7 / 48.2 ms,57 us,20913 us,4 us,44 us,10537 us,0.00347534,-0.001146099,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.5,22.5 / 44.4 ms,67 us,16806 us,4 us,53 us,14620 us,0.00347622,-0.00114678,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.5,14.2 / 70.3 ms,67 us,21396 us,4 us,27129 us,15170 us,-7.23E-04,-9.92E-04,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.6,20.4 / 49.0 ms,68 us,19685 us,4 us,53 us,16380 us,-7.20E-04,-9.95E-04,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.6,21.5 / 46.4 ms,66 us,23869 us,4 us,61 us,10567 us,-6.15E-04,-0.001076004,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.7,22.3 / 44.8 ms,68 us,17275 us,4 us,53 us,10600 us,-6.12E-04,-0.00107873,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.7,27.1 / 36.8 ms,65 us,20264 us,4 us,52 us,10952 us,-6.13E-04,-0.001078048,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.8,25.1 / 39.9 ms,68 us,22173 us,4 us,52 us,10841 us,-6.13E-04,-0.001078048,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.8,17.1 / 58.5 ms,71 us,17563 us,2 us,16866 us,10304 us,-6.13E-04,-0.001078048,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.8,28.7 / 34.8 ms,57 us,23390 us,2 us,46 us,10845 us,-6.13E-04,-0.001077821,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.9,24.5 / 40.9 ms,167 us,20650 us,2 us,53 us,11670 us,-6.13E-04,-0.001078048,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:29.9,21.1 / 47.3 ms,55 us,19118 us,3 us,33 us,9549 us,0.001388972,-0.001079302,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.0,25.6 / 39.0 ms,52 us,19268 us,4 us,34 us,16386 us,0.001388092,-0.00107862,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.2,22.6 / 44.2 ms,77 us,17116 us,4 us,51 us,10858 us,0.001389265,-0.001079529,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.8,27.4 / 36.5 ms,63 us,18281 us,4 us,51 us,15435 us,0.00136287,-0.001059086,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.1,17.2 / 58.3 ms,58 us,23158 us,3 us,12988 us,10227 us,0.001370789,-0.001065219,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.2,24.0 / 41.7 ms,56 us,21002 us,3 us,446 us,10034 us,0.001373428,-0.001067264,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.2,25.2 / 39.7 ms,56 us,20651 us,3 us,42 us,10145 us,0.001372548,-0.001066582,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.2,26.3 / 38.0 ms,56 us,21090 us,4 us,46 us,10321 us,0.001372548,-0.001066582,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.3,25.1 / 39.9 ms,64 us,17211 us,4 us,46 us,10680 us,0.001374015,-0.001067718,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.3,27.5 / 36.3 ms,96 us,19479 us,5 us,51 us,11552 us,0.001375481,-0.001068854,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.4,23.4 / 42.8 ms,90 us,27672 us,6 us,72 us,13657 us,0.001374601,-0.001068172,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.4,14.2 / 70.5 ms,56 us,20131 us,3 us,16890 us,10687 us,0.001375188,-0.001068627,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:30.5,22.1 / 45.2 ms,58 us,16092 us,3 us,42 us,9792 us,0.001375481,-0.001068854,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
